"var","end_dap","lag_max","at_typ","at_hi","delta_eta_bandA","delta_eta_bandB","OR_bandA","OR_bandB"
"tmean",85,70,25.45,27.03,0.933354929103448,-0.150181972031356,2.54302655583185,0.860551365895984
"tmean",85,70,25.45,27.03,0.283959248676319,-0.147071975006457,1.32837879645547,0.863231844062771
"tmean",85,70,25.45,27.03,0.93028765193448,-0.374601974597093,2.53523833895306,0.687562891831935
"tmean",85,70,25.45,27.03,0.999952278012794,-0.0144832167090231,2.71815210974365,0.985621160560299
"tmean",85,70,25.45,27.03,0.719667080127409,-0.643276706087917,2.05374936284073,0.525567469375179
"tmean",85,70,25.45,27.03,-0.0295678804392273,-0.0841681495997118,0.970864972663615,0.919276667094853
"tmean",85,70,25.45,27.03,1.25926611943031,-0.443615660683512,3.5228351981656,0.641712008592362
"tmean",85,70,25.45,27.03,0.402489856383747,-0.610354888381046,1.49554375492606,0.543158074376556
"tmean",85,70,25.45,27.03,1.05824676827815,-0.472307028759813,2.88131494559175,0.623562032046823
"tmean",85,70,25.45,27.03,0.450484873969865,-0.608672583747628,1.5690728036326,0.544072600762059
"tmean",85,70,25.45,27.03,1.27870232457868,0.226227473658262,3.59197548158998,1.25386085315581
"tmean",85,70,25.45,27.03,0.740099405523088,-0.356426035085179,2.09614387241633,0.700174257883753
"tmean",85,70,25.45,27.03,0.411017248840493,-0.137004648554193,1.50835137364593,0.87196617274068
"tmean",85,70,25.45,27.03,0.0529921454367441,0.175463661614437,1.05442136306754,1.19179867982444
"tmean",85,70,25.45,27.03,0.813571636678253,-0.504393191146521,2.25595105219476,0.603871899086313
"tmean",85,70,25.45,27.03,0.326351601777486,-0.254974569000492,1.38590256902424,0.774936205112744
"tmean",85,70,25.45,27.03,0.662293355618056,-0.356003799560437,1.93923459316445,0.700469958752254
"tmean",85,70,25.45,27.03,0.189893101284751,-0.703147870047373,1.20912033733785,0.495024575561245
"tmean",85,70,25.45,27.03,1.55571518577731,-0.717535142612082,4.73847420296162,0.487953510706792
"tmean",85,70,25.45,27.03,-0.112275096800685,0.214793156142629,0.893798342612198,1.23960546567022
"tmean",85,70,25.45,27.03,0.307774408867438,0.410593550372265,1.36039406148134,1.50771242285016
"tmean",85,70,25.45,27.03,1.3244970677003,-0.428943007350551,3.76029370619294,0.651197041568168
"tmean",85,70,25.45,27.03,1.07818463999994,0.0562977372748571,2.93933874680347,1.0579126168702
"tmean",85,70,25.45,27.03,1.0408585214497,-0.581354368994072,2.83164700079274,0.559140570861234
"tmean",85,70,25.45,27.03,1.03544032567154,-0.217309364819403,2.8163460721136,0.804680990804995
"tmean",85,70,25.45,27.03,0.797954084163586,-0.150115788826112,2.22099231369043,0.860608321828398
"tmean",85,70,25.45,27.03,0.125041462500086,0.0330792286954811,1.13319543720869,1.03363242934622
"tmean",85,70,25.45,27.03,0.988132835097133,-0.0222408382834183,2.6862141821105,0.978004665720425
"tmean",85,70,25.45,27.03,0.258330442753022,0.550672818870818,1.29476659418058,1.73441957560274
"tmean",85,70,25.45,27.03,0.493893301707187,-0.342540939249271,1.63868370671164,0.70996405339523
"tmean",85,70,25.45,27.03,0.548520633428093,-0.689986432374078,1.73069079699135,0.501582874308697
